idx;date;rubro;subrubro;detalle;Total Entidades Establecimientos de crédito sin IOE'S;Total Sector Privado;Total Sector Privado Nacional;Total Sector Privado Extranjero;Total Sector Público;Total Sector Cooperativas;Total Bancos ;Bancos Privados;Bancos Privados Nacionales ;Bancos Privados Extranjeros;Bancos Públicos ;Bancos Nacionales;Total CFIs;CFIs Privadas;CFIs Privadas Nacionales;CFIs Privadas Extranjeras;Total CFs ;Total CFs Nacionales (Tradicionales+Leasing);Total CFs Extranjeras (Tradicionales+Leasing);Total CFs Tradicionales;CFs Privadas;CFs Privadas Nacionales;CFs Privadas Extranjeras;Total Cooperativas;BANCO DE BOGOTA;BANCO POPULAR;ITAÚ CORPBANCA COLOMBIA S.A.;BANCOLOMBIA;CITIBANK-COLOMBIA;GNB SUDAMERIS;BBVA COLOMBIA;OCCIDENTE;BANCO CAJA SOCIAL;DAVIVIENDA;SCOTIABANK COLPATRIA S.A;BANAGRARIO;BANCO AV VILLAS;BANCO CREDIFINANCIERA ;BANCAMIA;BANCO W S.A.;BANCOOMEVA;BANCO FINANDINA;BANCO FALABELLA S.A.;BANCO PICHINCHA S.A.;COOPCENTRAL;BANCO SANTANDER DE NEGOCIOS COLOMBIA;BANCO MUNDO MUJER S.A.;MIBANCO S.A.;BANCO SERFINANZA S.A.;BANCO J.P: MORGAN COLOMBIA S.A.;LULO BANK S.A.;BANCO PTG PACTUAL;CORFICOLOMBIANA;B INV BANCOLOMBIA;BNP PARIBAS COLOMBIA;CORPORACIÓN FINANCIERA GNB SUDAMERIS S.A;CORPORACIÓN FINANCIERA DAVIVIENDA;GIROS Y FINANZAS;COMPAÑÍA DE FINANCIAMIENTO TUYA;GM FINANCIAL COLOMBIA S.A.;COLTEFINANCIERA;DANN REGIONAL;CREDIFAMILIA;CREZCAMOS S.A.;LA HIPOTECARIA;FINANCIERA JURISCOOP S.A.;RCI COLOMBIA S.A.;BANCAR TECNOLOGIA CO S.A.;COOP FINAN DE ANTIOQUIA;JFK COOPERATIVA FINANCIERA;COOP FINAN COOFINEP;COOP FINAN COTRAFA;COOP FINAN CONFIAR;BANCO BTG PACTUAL;BANCO UNION;IRIS CF;SANTANDER CONSUMER S.A. C.F.C;Total CFIs privadas;BANCIEN S.A;RAPPIPAY COMPAÑÍA DE FINANCIAMIENTO;MERCADO PAGO;BOLD COMPAÑÍA DE FINANCIAMIENTO;BANCO CONTACTAR;CREDICORP CAPITAL CORPORACIÓN FINANCIERA ;NU COLOMBIA C.F.;KOA C.F
2;2021-12-31 00:00:00;BALANCE (cifras en $ millones);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;2021-12-31 00:00:00;ACTIVOS;0;0;861021564.1;824355718.3;601021937.1;223333781.2;32216896.74;4448949.1;817570847.9;785353951.2;568255546.3;217098404.8;32216896.74;600472443.1;25217277.04;25217277.04;24719512.44;497764.6;13784490.1;8046878.33;5737611.77;13784490.1;13784490.1;8046878.33;5737611.77;4448949.1;108630494.6;29708064.37;30417279.66;208960068.6;12366000.65;35958040.77;79516658.9;47147802.46;18069651.94;117331754.7;40258758.81;32216896.74;17253830.66;2050719.47;2056792.58;2179116.21;4814725.69;2735091.41;6351326.64;3158147.4;1144241.67;5507740.59;2319961.89;1401989.98;2294876.35;3462364.72;156363.69;102086.7;21712808.6;2019367.63;497764.6;754207.35;233128.86;905633.3;3861357.26;2067923.32;895679.38;522454.61;573600.63;442584.47;357395.62;1288153.15;2841496.75;28211.61;525872.89;1284334.27;319207.78;1055168.91;1264365.25;0;0;0;0;0;0;0;0;0;0;0;0;0
4;2021-12-31 00:00:00;ACTIVOS;DISPONIBLE;0;67795668.28;65781170.52;41275624.36;24505546.16;1471059.88;543437.88;63663067.3;62192007.42;37973358.67;24218648.75;1471059.88;39444418.55;2469564.55;2469564.55;2464526.12;5038.43;1119598.55;837739.57;281858.98;1119598.55;1119598.55;837739.57;281858.98;543437.88;7322021.57;1682835.15;2427296.41;13333358.08;2799716.93;3622542.12;10268051.64;4408326.37;1211127.7;7094112.18;3701888.88;1471059.88;884368.25;293924.81;144289.94;330372.13;288537.91;202647.32;219602.39;210203.76;136865.98;866829.57;160577.59;183760.04;261883.57;16620.89;34350.08;85896.16;1602383.76;822523.29;5038.43;11531.22;28087.85;109392.65;353348.13;119794.46;113214.59;60410.57;36915.33;15426.42;38742.68;164458.3;94098.13;13797.29;68623.83;173039.77;40973.92;126905.61;133894.75;0;0;0;0;0;0;0;0;0;0;0;0;0
5;2021-12-31 00:00:00;ACTIVOS;POSICIONES ACTIVAS EN OPERACIONES DE MERCADO MONETARIO Y RELACIONADAS;0;22515567.15;22447883.42;6856334.64;15591548.78;67683.73;0;21552982.56;21485298.83;5893750.05;15591548.78;67683.73;5961433.78;949386.47;949386.47;949386.47;0;13198.12;13198.12;0;13198.12;13198.12;13198.12;0;0;69920.02;147007.26;2411319.17;1419807.71;1159172.75;8849894.34;737063.89;398024.52;1350354.66;2220163.53;1286076.67;67683.73;24933.59;0;46006.46;76874.63;14656.69;0;99500;0;0;230954.94;0;3000.49;120000;817567.02;3000.49;0;949386.47;0;0;0;0;0;0;0;0;0;0;0;0;13198.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;2021-12-31 00:00:00;ACTIVOS;POSICIONES ACTIVAS EN OPERACIONES DE MERCADO MONETARIO Y RELACIONADAS;INTERBANCARIOS;4678851.23;4611167.5;3387897.65;1223269.85;67683.73;0;4371875.99;4304192.26;3080922.41;1223269.85;67683.73;3148606.14;306975.24;306975.24;306975.24;0;0;0;0;0;0;0;0;0;40013.55;8201.19;384721.61;707904.43;0;115843.37;30009.72;325437.84;1350354.66;477003.3;593195.15;67683.73;0;0;46006.46;0;0;0;99500;0;0;0;0;3000.49;120000;0;3000.49;0;306975.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;2021-12-31 00:00:00;ACTIVOS;POSICIONES ACTIVAS EN OPERACIONES DE MERCADO MONETARIO Y RELACIONADAS;OPERACIONES DE REPORTO O REPO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;2021-12-31 00:00:00;ACTIVOS;POSICIONES ACTIVAS EN OPERACIONES DE MERCADO MONETARIO Y RELACIONADAS;OPERACIONES SIMULTÁNEAS;17836715.91;17836715.91;3468436.97;14368278.94;0;0;17181106.56;17181106.56;2812827.62;14368278.94;0;2812827.62;642411.23;642411.23;642411.23;0;13198.12;13198.12;0;13198.12;13198.12;13198.12;0;0;29906.46;138806.07;2026597.57;711903.28;1159172.75;8734050.97;707054.17;72586.67;0;1743160.23;692881.52;0;24933.59;0;0;76874.63;14656.69;0;0;0;0;230954.94;0;0;0;817567.02;0;0;642411.23;0;0;0;0;0;0;0;0;0;0;0;0;13198.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;2021-12-31 00:00:00;ACTIVOS;POSICIONES ACTIVAS EN OPERACIONES DE MERCADO MONETARIO Y RELACIONADAS;OPERACIONES DE TRANSFERENCIA TEMPORAL DE VALORES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;2021-12-31 00:00:00;ACTIVOS;POSICIONES ACTIVAS EN OPERACIONES DE MERCADO MONETARIO Y RELACIONADAS;OTRAS POSICIONES ACTIVAS EN OPERACIONES DE MERCADO MONETARIO;0.009999998;0.009999998;0.02;-0.01;0;0;0.009999998;0.010000002;0.02;-0.01;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0;-0.01;0;0;0;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;0;193679915;177903764.7;135694359.7;42209404.98;15419465.47;356684.87;171489509.2;156070043.8;114360166.4;41709877.35;15419465.47;129779631.9;21223295.54;21223295.54;20801487.97;421807.57;610425.36;532705.3;77720.06;610425.36;610425.36;532705.3;77720.06;356684.87;34074776.14;5295881.19;4171100.92;44149291.92;5546201.62;11736059.29;10830911.25;8163289.02;2512551.56;15764447.35;4491961.53;15419465.47;3197226.43;65568.64;33143.52;61804.83;553230.9;69309.73;808932.34;543132.7;134399.31;1018342.22;132704.05;38948.1;108016;2563235.48;5577.73;0;18761397.52;1188726.33;421807.57;712546.28;138817.84;215062.63;109569.5;32837.75;71141.24;11917.47;3448.28;7354.91;18046.81;121566.18;9469.49;10011.1;31035.35;102978;11340.64;124172.67;87158.21;0;0;0;0;0;0;0;0;0;0;0;0;0
