idx;date;rubro;subrubro;detalle;BANCIEN S.A;BANCAMIA;BANCO W S.A.;BANCOOMEVA;BANCO FALABELLA S.A.;BANCO PICHINCHA S.A.;BANCO MUNDO MUJER S.A.;LULO BANK S.A.
2;2021-12-31 00:00:00;BALANCE (cifras en $ millones);0;0;0;0;0;0;0;0;0;0
3;2021-12-31 00:00:00;ACTIVOS;0;0;0;2056792.58;2179116.21;4814725.69;6351326.64;3158147.4;2319961.89;156363.69
4;2021-12-31 00:00:00;ACTIVOS;DISPONIBLE;0;0;144289.94;330372.13;288537.91;219602.39;210203.76;160577.59;34350.08
5;2021-12-31 00:00:00;ACTIVOS;POSICIONES ACTIVAS EN OPERACIONES DE MERCADO MONETARIO Y RELACIONADAS;0;0;46006.46;76874.63;14656.69;99500;0;0;3000.49
6;2021-12-31 00:00:00;ACTIVOS;POSICIONES ACTIVAS EN OPERACIONES DE MERCADO MONETARIO Y RELACIONADAS;INTERBANCARIOS;0;46006.46;0;0;99500;0;0;3000.49
7;2021-12-31 00:00:00;ACTIVOS;POSICIONES ACTIVAS EN OPERACIONES DE MERCADO MONETARIO Y RELACIONADAS;OPERACIONES DE REPORTO O REPO;0;0;0;0;0;0;0;0
8;2021-12-31 00:00:00;ACTIVOS;POSICIONES ACTIVAS EN OPERACIONES DE MERCADO MONETARIO Y RELACIONADAS;OPERACIONES SIMULTÁNEAS;0;0;76874.63;14656.69;0;0;0;0
9;2021-12-31 00:00:00;ACTIVOS;POSICIONES ACTIVAS EN OPERACIONES DE MERCADO MONETARIO Y RELACIONADAS;OPERACIONES DE TRANSFERENCIA TEMPORAL DE VALORES;0;0;0;0;0;0;0;0
10;2021-12-31 00:00:00;ACTIVOS;POSICIONES ACTIVAS EN OPERACIONES DE MERCADO MONETARIO Y RELACIONADAS;OTRAS POSICIONES ACTIVAS EN OPERACIONES DE MERCADO MONETARIO;0;0;0;0;0;0;0;0
11;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;0;0;33143.52;61804.83;553230.9;808932.34;543132.7;132704.05;5577.73
12;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS - INSTRUMENTOS REPRESENTATIVOS DE DEUDA;0;33142.49;24178.74;306279.73;45477.19;65564.86;68674.11;0
13;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS - INSTRUMENTOS DE PATRIMONIO;0;1.03;803.2;0;0;8505.22;28269.49;0
14;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES A COSTO AMORTIZADO;0;0;29886.93;158564.48;314232.9;43325.37;35760.45;0.48
15;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES  A VALOR RAZONABLE CON CAMBIOS EN EL ORI   - INSTRUMENTOS DE PATRIMONIO;0;0;0;11788.24;0;162.76;0;0
16;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS ENTREGADOS EN OPERACIONES DE MERCADO MONETARIO - INSTRUMENTOS REPRESENTATIVOS DE DEUDA (DERECHOS DE TRANSFERENCIA);0;0;0;13871.82;0;0;0;0
17;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS ENTREGADOS EN OPERACIONES DE MERCADO MONETARIO - INSTRUMENTOS DE PATRIMONIO (DERECHOS DE TRANSFERENCIA);0;0;0;0;0;0;0;0
18;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES A COSTO AMORTIZADO CON CAMBIOS EN RESULTADOS  ENTREGADOS EN OPERACIONES DE MERCADO MONETARIO - INSTRUMENTOS REPRESENTATIVOS DE DEUDA (DERECHOS DE TRANSFERENCIA);0;0;0;45552.68;0;0;0;0
19;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN EL ORI ENTREGADOS EN OPERACIONES DE MERCADO MONETARIO - INSTRUMENTOS DE PATRIMONIO;0;0;0;0;0;0;0;0
20;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS ENTREGADAS EN GARANTÍA DE OPERACIONES CON INSTRUMENTOS DERIVADOS - INSTRUMENTOS REPRESENTATIVOS DE DEUDA;0;0;0;0;0;0;0;0
21;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS ENTREGADOS EN GARANTÍA DE OPERACIONES CON INSTRUMENTOS DERIVADOS - INSTRUMENTOS DE PATRIMONIO;0;0;0;0;0;0;0;0
